BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.3313,0.6702,0.3684,0.4136,0.5533,0.3603,0.4841,60.45,0.8905,0.7836,0.001,0.3846,0.5159
0.2546,0.5246,0.2857,0.3279,0.2339,0.2725,0.502,51.68,0.8064,0.6587,0.0056,0.2629,0.498
0.2649,0.5737,0.2698,0.3842,0.2302,0.2946,0.506,56.18,0.9085,0.7138,0.0058,0.2191,0.494
0.1127,0.4724,0.1636,0.2625,0.3839,0.172,0.4387,59.74,0.6664,0.6775,0.0022,0.6127,0.5613
0.2665,0.5537,0.2689,0.4039,0.4998,0.311,0.3883,59.84,0.8409,0.707,0.0007,0.4435,0.6117
0.1846,0.4912,0.2529,0.3333,0.5069,0.2089,0.4882,51.18,0.8422,0.6912,0.0027,0.5538,0.5118
0.1777,0.5275,0.2449,0.3188,0.4496,0.2188,0.4348,51.62,0.8062,0.6808,0.004,0.5846,0.5652
0.3179,0.5812,0.3789,0.3403,0.4762,0.337,0.464,59.74,0.7782,0.7179,0.0008,0.4478,0.536
0.1707,0.454,0.2346,0.3129,0.2327,0.1922,0.516,60.04,0.6026,0.6733,0.0005,0.28,0.484
0.1734,0.5199,0.2338,0.3119,0.5035,0.202,0.4699,53.92,0.6535,0.7258,0.0005,0.5379,0.5301
0.1092,0.4472,0.2063,0.2919,0.4552,0.1383,0.498,66.37,0.5947,0.6708,0.0006,0.627,0.502
0.2518,0.5854,0.3161,0.3577,0.5047,0.2794,0.4802,58.52,0.684,0.7233,0.001,0.4656,0.5198
0.1891,0.4828,0.2312,0.2701,0.2035,0.2146,0.5397,57.81,0.6688,0.6732,0.0031,0.2222,0.4603
0.1875,0.5152,0.2744,0.3394,0.5161,0.2109,0.4961,64.3,0.8103,0.7308,0.0009,0.5312,0.5039
0.2522,0.5706,0.3352,0.3842,0.5614,0.2734,0.4466,57.4,0.7269,0.7257,0.0044,0.5,0.5534
0.3057,0.5829,0.3333,0.369,0.5092,0.3266,0.4798,50.16,0.7106,0.722,0.0099,0.4186,0.5202
0.1547,0.4592,0.2067,0.284,0.2367,0.1824,0.5219,55.78,0.7701,0.6475,0.0005,0.2669,0.4781
0.2862,0.5858,0.3342,0.3799,0.5088,0.3114,0.4246,49.65,0.8217,0.7215,0.0015,0.4897,0.5754
0.1561,0.4779,0.1899,0.295,0.426,0.1894,0.4777,58.01,0.6142,0.6482,0.0066,0.5581,0.5223
0.2103,0.5123,0.3106,0.2901,0.2522,0.2297,0.5118,63.49,0.6925,0.7187,0.0054,0.2756,0.4882
0.33,0.6085,0.3509,0.3591,0.2441,0.3519,0.502,63.63,0.7806,0.738,0.0013,0.1858,0.498
0.2896,0.5662,0.3081,0.2753,0.4715,0.3154,0.4484,58.21,0.8194,0.6861,0.002,0.4892,0.5516
0.2384,0.531,0.2444,0.3524,0.4013,0.2667,0.4177,55.78,0.5558,0.7087,0.0186,0.5724,0.5823
0.2256,0.5995,0.2961,0.3049,0.4998,0.2718,0.4194,60.35,0.7638,0.7294,0.0015,0.4861,0.5806
0.1841,0.5,0.2484,0.2654,0.2353,0.2134,0.5299,47.93,0.5484,0.7099,0.0016,0.251,0.4701
0.2469,0.5109,0.2732,0.2989,0.533,0.2702,0.4627,67.79,0.759,0.7091,0.0116,0.5474,0.5373
0.2806,0.6431,0.3562,0.3869,0.5787,0.3084,0.4325,60.14,0.8762,0.7561,0.037,0.4406,0.5675
0.2451,0.5108,0.2899,0.3237,0.2017,0.26,0.554,70.67,0.8533,0.6491,0.0036,0.1878,0.446
0.2724,0.5938,0.2932,0.4115,0.4853,0.301,0.4409,55.17,0.8384,0.7026,0.0089,0.5,0.5591
0.2869,0.5868,0.3614,0.4251,0.5837,0.3027,0.444,64.85,0.802,0.7374,0.0005,0.4925,0.556
0.2904,0.5691,0.3222,0.3646,0.4802,0.3101,0.4378,49.55,0.8272,0.7168,0.0103,0.5071,0.5622
0.262,0.586,0.3081,0.3602,0.222,0.288,0.502,49.65,0.8344,0.7216,0.0009,0.2235,0.498
0.1963,0.5127,0.2803,0.3608,0.5212,0.217,0.4839,54.22,0.7637,0.7151,0.0029,0.5391,0.5161
0.3084,0.6087,0.3445,0.3887,0.4891,0.3384,0.4418,55.88,0.7677,0.7707,0.0045,0.4532,0.5582
0.2409,0.5621,0.3155,0.3846,0.5415,0.2665,0.4343,68.81,0.7704,0.7541,0.0093,0.5282,0.5657
0.161,0.4179,0.1862,0.2746,0.2259,0.1889,0.502,63.09,0.6181,0.6709,0.0051,0.3004,0.498
0.262,0.5591,0.2973,0.3602,0.5237,0.288,0.4476,58.32,0.8137,0.7101,0.0011,0.4745,0.5524
0.3009,0.5781,0.3455,0.4115,0.513,0.3192,0.4739,57.91,0.9261,0.7373,0.0125,0.4504,0.5261
